id,full_sq,life_sq,floor,sub_area,preschool_quota,preschool_education_centers_raion,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25_raion,shopping_centers_raion,office_raion,oil_chemistry_raion,railroad_terminal_raion,nuclear_reactor_raion,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,kindergarten_km,school_km,park_km,green_zone_km,industrial_km,railroad_station_walk_km,railroad_station_walk_min,public_transport_station_km,public_transport_station_min_walk,mkad_km,ttk_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_1line,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,hospice_morgue_km,university_km,workplaces_km,shopping_centers_km,office_km,additional_education_km,preschool_km,big_church_km,church_synagogue_km,theater_km,museum_km,ecology,mosque_count_1000,price_doc
1,43,27.0,4.0,Bibirevo,5001.0,5,11065.0,5,0,240.0,1,0,7,3,0,16,1,no,no,no,2.590241095,1.131259906,13.57511887,1.131259906,0.145699552,0.17797535,2.158587074,0.600973099,1.080934313,5.419893032,65.03871639,0.274985143,3.299821714,1.42239141,10.9185867,13.10061764,13.67565705,15.15621058,no,10.81417151,1.676258313,0.485841388,3.065047099,1.107594209,8.148590774,3.516512911,2.392353035,6.715025787,0.884350021,0.648487637,0.637188832,0.947961657,0.17797535,0.625783434,0.628186549,14.05304655,7.389497904,good,0,5850000
2,34,19.0,3.0,Nagatinskij Zaton,3119.0,5,6237.0,8,0,229.0,1,0,6,1,1,3,0,no,no,no,0.936699728,0.647336757,7.620630408,0.635052534,0.147754269,0.273345319,0.550689737,0.065321162,0.966479097,3.411993084,40.943917,0.065263344,0.78316013,9.503405157,3.103995954,6.444333466,8.132640073,8.698054189,no,6.910567711,3.424716092,0.668363679,2.000153804,8.97282283,6.127072782,1.161578983,2.543746975,1.852560245,0.686251693,0.519311324,0.688796317,1.072315063,0.273345319,0.967820571,0.471446524,6.829888847,0.709260033,excellent,0,6000000
3,43,29.0,2.0,Tekstil'shhiki,1463.0,4,5580.0,7,0,1183.0,1,0,5,1,0,0,1,no,no,no,2.120998901,1.637996285,17.3515154,1.445959617,0.049101536,0.158071895,0.374847751,0.453172405,0.939275144,1.277658039,15.33189647,0.328756044,3.945072522,5.60479992,2.927487097,6.963402995,8.054252314,9.067884956,no,5.75236835,1.375442778,0.733101062,1.239303854,1.978517187,0.767568769,1.952770629,0.621357002,0.841254102,1.510088854,1.48653302,1.543048836,0.391957389,0.158071895,3.178751487,0.755946015,4.273200485,3.156422843,poor,0,5700000
4,89,50.0,9.0,Mitino,6839.0,9,17063.0,10,0,,1,0,17,6,0,11,4,no,no,no,1.489049154,0.984536582,11.56562408,0.963802007,0.179440956,0.236455018,0.078090293,0.106124506,0.451173311,4.2914325,51.49719001,0.131596959,1.579163513,2.677824281,14.60650078,17.45719794,18.30943312,19.48700542,no,27.89271688,0.811275289,0.62348431,1.950316967,6.483171621,7.385520691,4.923843177,3.549557568,10.9031613,0.622271644,0.599913582,0.934273498,0.8926743,0.236455018,1.03177679,1.561504846,16.99067736,16.04152067,good,0,13100000
5,77,77.0,4.0,Basmannoe,3240.0,7,7770.0,9,0,562.0,4,2,25,2,0,10,93,no,yes,no,1.257186453,0.876620232,8.266305238,0.68885877,0.247901208,0.376838057,0.258288769,0.236214054,0.392870988,0.853960072,10.24752087,0.071480323,0.857763874,11.61665314,1.721833675,0.046809568,0.787593311,2.578670647,no,9.15505713,1.969737724,0.220287667,2.544696,3.975401349,3.610753828,0.307915375,1.864637406,0.991682626,0.892667526,0.429052137,0.077900959,0.810801456,0.376838057,0.378755838,0.121680643,1.11248589,1.800124877,excellent,0,16331452
6,67,46.0,14.0,Nizhegorodskoe,852.0,2,2012.0,3,0,,0,0,7,0,0,6,19,no,no,no,2.735883907,1.593246481,18.37816963,1.531514136,0.145954816,0.113466218,1.073495427,1.497902638,0.256487453,0.375311695,4.503740339,0.189227153,2.270725835,8.296086727,0.284868107,3.519388985,4.395057477,5.645795859,no,5.374563767,3.447863628,0.81041306,1.911842782,2.108923435,4.233094726,1.450974874,3.391116928,3.830021305,1.042261834,0.440707312,0.422357874,3.066285203,0.113466218,0.686931702,0.870446514,3.388809733,3.71355663,poor,0,9100000
7,25,14.0,10.0,Sokol'niki,933.0,5,5050.0,5,0,4849.0,3,0,17,6,0,6,9,no,no,no,1.453761834,1.026916052,12.32299262,1.026916052,0.501165569,0.516979177,2.393238738,0.632444746,0.707268095,2.603670532,31.24404639,0.050211053,0.602532635,8.618597103,2.026622694,3.940565824,4.686895435,6.468718768,no,13.70496751,1.825870151,0.132256233,1.278911604,1.733264299,1.877747146,0.588118977,0.198894455,3.168781583,0.544311589,0.513689337,0.067724564,0.27301919,0.516979177,0.822377431,0.318230275,0.75222301,2.969314705,poor,0,5500000
8,44,44.0,5.0,Bibirevo,5001.0,5,11065.0,5,0,240.0,1,0,7,3,0,16,1,no,no,no,3.623270141,1.593203382,11.52778764,0.96064897,0.134365152,0.581510695,1.602056341,0.165124113,1.166991896,4.309574655,51.71489587,0.25481389,3.057766679,1.04229051,11.53414568,13.71375173,14.2861768,15.77042634,no,9.913434734,2.795147723,0.342545086,2.090237161,2.359385347,8.114016035,3.495441189,1.69654313,6.917527177,1.09857248,0.657587332,0.872231483,0.371856693,0.581510695,1.079769307,0.558238725,13.15230977,8.018089004,good,0,2000000
9,42,27.0,5.0,Koptevo,3272.0,4,8751.0,6,0,1894.0,4,0,7,6,0,0,7,no,no,no,2.175430788,1.338707436,14.74228941,1.228524117,0.11290453,0.256589329,0.939584123,0.148956733,0.670431737,1.540958494,18.49150192,0.219775841,2.637310091,6.53914608,5.514867811,8.290836714,8.963023472,10.357535,no,18.18034021,1.263583558,0.0,2.467325771,0.540760283,0.731141912,0.799921119,1.782439237,1.204220449,0.256589329,2.332387982,1.143674241,0.217477464,0.256589329,0.554880314,0.555962558,6.788241041,5.273171011,poor,0,5300000
10,36,21.0,9.0,Kuncevo,4050.0,7,11234.0,8,0,2620.0,0,0,5,2,0,3,3,no,no,no,1.383373263,0.396274723,4.755296675,0.396274723,0.309672803,0.150686282,1.969773852,0.191191251,2.024970785,2.522421641,30.26905969,0.218409543,2.62091451,3.953500268,5.885973152,8.955785282,10.00345994,10.86912007,no,20.46122679,5.174844257,0.508801924,1.281865943,5.741238918,5.076912538,2.969620143,1.35479157,5.23895598,0.150686282,0.912378535,0.459233791,1.794687627,0.150686282,1.167638745,1.150550082,4.373416959,5.148563093,satisfactory,0,2000000
